,model_name,data_name,mbpp_4shot,math-0shot,gsm8k-4shot,humaneval-0shot,hellaswag-10shot,nq-1shot,BoolQ-5shot,mmlu-5shot,lora,epoch,data_size,lr_strategy,mtbench-total,mtbench-writing,mtbench-roleplay,mtbench-reasoning,mtbench-math,mtbench-coding,mtbench-extraction,mtbench-stem,mtbench-humanities,alpaca_eval_v2-total,mbpp-0shot,gsm8k-0shot,nq-0shot,nq-5shot,nq-25shot,BoolQ-0shot,hellaswag-0shot,mmlu-0shot,Truthful_QA-0shot,LongBench-v2-0shot,jmmlu-0shot,cmmlu-0shot
228,Qwen2.5-7B,alpaca_cleaned,75.1,43.8,79.76,1.83,69.45,19.25,68.32,51.69690607734806,false,4,20000.0,constant,5.09,3.5,5.5,4.6,5.2,4.9,5.8,4.9,6.3,9.23,76.65,84.91,18.39,25.15,22.66,6.27,83.9,66.8019298245614,0.14,,59.57719298245615,30.972238805970147
229,OLMo-7B-hf,alpaca_cleaned,19.07,1.4,6.22,4.88,20.34,7.26,28.01,18.30649122807017,false,4,20000.0,constant,2.83,2.1,3.5,2.2,2.0,2.3,2.2,3.5,4.8,2.98,25.68,3.64,19.25,4.49,8.95,62.02,24.89,25.53491228070175,0.11,,24.495964912280705,25.363134328358207
230,Sarashina2-7B,alpaca_cleaned,31.13,1.56,13.95,4.88,26.19,15.18,7.49,22.9671270718232,false,10,1000.0,cosine,2.56,2.3,2.7,2.1,1.5,3.0,2.5,3.0,3.4,1.61,29.96,8.34,8.37,15.87,16.2,47.58,24.87,25.2861403508772,0.06,,26.38122807017544,28.47149253731343
231,OLMo-7B-hf,alpaca_cleaned,27.24,0.92,4.32,1.22,24.45,1.14,62.05,21.2119298245614,false,10,1000.0,constant,2.54,2.2,3.5,2.4,1.2,1.8,2.3,3.2,3.7,2.48,2.33,3.41,19.06,0.8,4.76,59.39,24.79,25.73140350877193,0.11,,22.670701754385963,21.128059701492536
232,LLM-jp-3-7B,alpaca_cleaned,10.51,0.7,12.89,3.66,26.39,8.56,61.53,15.55157894736842,false,10,1000.0,cosine,2.52,2.1,2.7,2.3,1.8,1.7,2.7,3.2,3.7,1.37,9.34,6.14,17.06,9.2,0.86,49.79,23.41,28.23403508771929,0.06,,27.39280701754386,23.0210447761194
233,OLMo-7B-hf,alpaca_cleaned,18.29,1.1,4.55,3.66,22.26,1.16,61.04,4.348421052631578,false,8,20000.0,constant,2.55,2.1,2.9,2.5,1.3,2.0,2.2,3.0,4.4,2.86,20.62,2.73,17.98,0.39,1.11,61.99,23.67,25.14771929824561,0.11,,23.32438596491228,25.46641791044776
234,OLMo-7B-hf,alpaca_cleaned,31.52,1.48,6.97,12.2,25.43,1.61,50.15,19.275964912280703,false,2,20000.0,constant,2.5,2.4,3.2,2.0,1.0,2.2,2.0,2.9,4.3,2.24,29.18,3.34,22.58,0.64,2.8,61.87,25.16,27.57438596491228,0.11,,23.665087719298253,24.721791044776115
235,llama-3-chinese-8b,alpaca_cleaned,56.03,8.04,43.97,12.8,42.29,16.51,73.85,42.51198895027624,false,10,1000.0,cosine,3.63,3.4,4.4,3.2,2.0,3.89,4.1,3.5,4.6,6.05,43.97,32.15,15.29,21.11,21.14,13.52,34.32,43.7759649122807,0.12,0.0,35.65543859649122,34.82492537313433
236,OLMo-7B-hf,alpaca_cleaned,24.51,1.74,4.78,4.88,22.46,3.55,61.16,2.8926315789473684,false,7,20000.0,constant,2.59,2.2,4.1,2.2,1.1,1.8,1.9,3.4,4.0,3.23,24.51,3.26,18.28,1.66,2.52,59.51,24.56,26.27736842105263,0.1,,22.33175438596491,25.05955223880597
237,Llama-3-Swallow-8B-v0.1,alpaca_cleaned,53.31,17.54,57.47,4.27,40.07,19.45,13.61,41.34629834254143,false,10,1000.0,cosine,4.46,3.8,4.9,3.4,3.3,4.8,4.4,5.1,6.0,7.22,52.53,54.06,9.94,22.85,22.49,34.59,23.93,32.581929824561406,0.1,0.0,33.53614035087719,35.36522388059702
238,LLM-jp-3-7B,alpaca_cleaned,0.39,0.62,12.28,3.05,32.47,11.19,64.01,23.645469613259667,true,10,1000.0,cosine,2.67,1.7,3.6,2.4,1.8,1.7,2.5,3.5,4.2,2.62,4.67,5.76,15.82,13.1,9.36,52.72,28.29,31.715789473684207,0.05,,28.922280701754385,27.274776119402983
239,Llama-3-Swallow-8B-v0.1,alpaca_cleaned,55.25,15.42,55.42,0.61,46.51,27.42,71.28,43.52524861878453,true,10,1000.0,cosine,4.11,4.2,5.0,3.4,3.2,4.5,3.7,4.2,4.7,5.47,52.14,32.6,20.64,27.53,25.04,62.14,45.39,50.20315789473684,0.12,,41.614210526315794,35.85268656716418
240,LLM-jp-3-7B,alpaca_cleaned,8.17,0.94,12.51,3.05,34.97,1.91,62.54,28.4021546961326,false,2,20000.0,constant,2.42,1.9,3.8,2.5,1.1,1.4,1.9,2.9,3.9,2.25,9.34,7.28,16.98,2.6,4.32,38.78,31.52,29.538245614035084,0.08,,29.592105263157897,25.713134328358205
241,OLMo-7B-hf,alpaca_cleaned,28.4,1.0,4.32,6.71,25.59,1.58,61.93,22.6459649122807,false,5,1000.0,constant,2.76,2.3,3.8,2.6,1.7,2.3,2.4,3.0,4.0,2.99,21.79,3.26,19.75,2.35,6.32,61.5,24.8,24.89526315789473,0.12,,21.852807017543864,22.42074626865672
242,Qwen2.5-7B,alpaca_cleaned,73.54,48.3,83.24,17.07,75.84,17.84,54.25,59.48243093922652,false,5,1000.0,constant,5.83,5.6,6.5,4.6,5.1,7.3,6.2,5.2,6.1,7.71,73.93,85.06,16.76,24.82,23.38,44.1,85.68,56.45666666666667,0.09,,53.664035087719306,58.486268656716426
243,OLMo-7B-hf,alpaca_cleaned,26.46,0.62,3.64,4.27,25.12,0.33,61.38,22.74298245614035,false,10,1000.0,cosine,2.69,2.6,3.3,2.7,1.5,1.9,2.3,3.2,4.0,1.99,2.33,3.41,19.06,0.8,4.76,59.39,24.79,25.73140350877193,0.11,0.0,22.670701754385963,21.128059701492536
244,Qwen2.5-7B,alpaca_cleaned,74.71,44.68,82.34,7.93,76.5,17.09,28.9,58.26276243093923,false,3,1000.0,constant,5.46,4.2,6.5,4.6,5.3,6.0,5.5,5.0,6.6,6.59,71.21,81.88,14.07,24.82,22.8,67.46,85.05,56.63736842105263,0.07,,47.847719298245615,60.937462686567166
245,OLMo-7B-hf,alpaca_cleaned,35.41,1.2,5.84,6.1,24.64,0.25,61.83,6.6856140350877205,false,1,1000.0,constant,2.21,1.8,3.1,2.6,1.5,1.5,1.7,2.6,2.9,1.49,21.4,3.11,22.94,0.39,2.24,29.02,22.25,22.7661403508772,0.13,,13.477368421052631,15.14641791044776
246,Qwen2.5-7B,alpaca_cleaned,74.32,49.42,81.58,15.85,75.96,21.86,60.86,59.46303867403316,false,1,20000.0,constant,5.29,4.2,5.7,5.0,5.2,5.44,5.2,5.4,6.2,8.11,75.88,83.4,19.28,27.48,24.16,7.19,84.26,67.99298245614034,0.13,,55.29175438596491,56.66208955223882
247,OLMo-7B-hf,alpaca_cleaned,21.4,0.98,4.47,5.49,20.95,1.3,61.5,7.060175438596492,false,10,20000.0,constant,2.5,2.1,3.7,2.0,1.2,1.9,2.1,3.1,3.9,2.61,22.96,2.2,16.9,0.53,1.5,57.86,25.07,25.75350877192982,0.1,,24.563859649122804,23.42253731343283
248,Yi-1.5-9B,alpaca_cleaned,70.82,37.24,73.54,35.37,68.36,6.59,64.86,59.78011049723757,false,10,1000.0,cosine,4.5,2.6,4.8,5.4,3.5,5.4,4.8,4.3,5.2,8.2,68.48,68.61,8.12,7.4,6.9,70.03,40.3,65.3919298245614,0.08,,48.18350877192982,66.6579104477612
249,Meta-Llama-3-8B,alpaca_cleaned,58.75,7.38,59.67,2.44,50.63,10.25,63.85,41.667513812154695,false,10,1000.0,cosine,4.8,5.8,6.6,4.2,3.6,3.1,3.8,5.3,6.0,7.59,43.58,47.76,6.37,21.72,26.59,64.53,47.57,43.39210526315789,0.12,,29.679649122807017,36.04208955223881
250,Gemma2-9B,alpaca_cleaned,59.53,36.48,70.66,39.63,59.04,13.55,81.13,53.015801104972375,false,10,1000.0,cosine,4.96,4.5,5.6,3.0,4.3,4.33,5.2,5.8,6.9,10.82,55.64,67.78,16.79,10.25,9.36,15.41,73.89,62.304210526315785,0.09,,52.264385964912286,44.13447761194031
251,Qwen2.5-7B,alpaca_cleaned,70.82,36.72,74.91,4.27,73.37,17.89,65.02,45.8571270718232,false,8,20000.0,constant,4.8,4.4,4.9,4.1,4.8,5.0,4.5,4.9,5.8,7.49,71.6,81.35,17.59,23.13,20.08,15.78,78.97,62.04421052631579,0.11,,57.55456140350877,16.742089552238806
252,Sarashina2-7B,alpaca_cleaned,30.35,1.74,15.16,5.49,25.09,15.29,61.53,23.540055248618785,true,10,1000.0,cosine,2.77,1.6,3.2,2.6,2.4,2.33,2.1,3.6,4.3,1.99,28.02,8.49,8.7,17.98,17.53,53.91,27.03,26.247719298245617,0.06,,29.30122807017544,26.37522388059701
253,OLMo-7B-hf,alpaca_cleaned,21.79,1.68,4.85,4.88,20.82,7.98,60.73,17.32017543859649,false,6,20000.0,constant,2.75,2.4,3.9,2.3,1.3,2.0,2.2,3.0,4.9,3.36,20.62,3.18,18.34,5.98,6.76,61.01,25.55,26.476315789473684,0.1,,23.454736842105262,25.161194029850748
254,OLMo-7B-hf,alpaca_cleaned,31.91,0.84,6.07,14.02,25.66,0.28,62.08,24.31614035087719,false,2,1000.0,constant,2.23,1.7,3.0,2.2,1.1,2.1,2.5,2.3,2.9,1.37,30.35,3.11,22.47,0.33,2.96,59.2,24.7,25.06842105263158,0.13,,17.943157894736842,22.966567164179096
255,OLMo-7B-hf,alpaca_cleaned,31.13,0.78,4.55,7.32,25.74,0.44,62.08,23.26421052631579,false,3,1000.0,constant,2.54,1.9,3.1,2.8,1.6,2.1,2.4,2.6,3.8,2.49,8.17,4.17,22.83,0.69,4.46,59.79,24.66,24.630877192982457,0.12,,18.5561403508772,22.63388059701492
256,OLMo-7B-hf,alpaca_cleaned,20.23,0.82,4.32,3.66,22.48,0.53,60.67,8.823684210526316,false,9,20000.0,constant,2.58,3.0,3.0,2.6,1.2,2.6,1.7,2.9,3.6,1.74,19.07,2.2,17.98,0.36,0.61,61.41,25.04,25.065087719298248,0.11,,23.025964912280703,23.807313432835823
257,LLM-jp-3-7B,alpaca_cleaned,2.33,0.5,11.98,1.83,8.26,8.59,0.12,16.9221546961326,false,1,1000.0,constant,2.08,1.8,3.2,1.6,1.2,1.1,2.0,2.8,2.9,0.87,9.34,6.14,17.06,9.2,0.86,49.79,23.41,28.23403508771929,0.09,,24.98508771929824,24.26059701492537
258,LLM-jp-3-7B,alpaca_cleaned,12.06,0.72,12.05,1.83,27.14,7.09,59.3,24.039558011049724,false,5,1000.0,constant,2.42,2.1,3.2,2.1,1.3,1.5,2.9,2.7,3.6,2.12,6.61,7.35,17.48,5.87,1.44,47.58,25.11,28.040350877192985,0.06,,28.062105263157893,24.26328358208956
259,LLM-jp-3-7B,alpaca_cleaned,12.45,0.84,11.83,6.1,30.62,1.19,62.2,26.052817679558007,false,1,20000.0,constant,2.4,2.1,4.0,1.7,1.1,1.4,2.6,3.0,3.3,1.5,12.06,5.99,19.7,2.19,5.68,39.82,32.62,26.61684210526316,0.08,,28.71578947368421,24.980447761194032
260,Qwen2.5-7B,alpaca_cleaned,74.32,40.56,79.68,3.05,71.74,18.25,70.98,48.24690607734807,false,5,20000.0,constant,5.11,3.3,5.7,4.2,5.0,5.6,5.0,4.9,7.2,7.23,75.49,83.93,17.42,24.63,19.92,6.64,81.94,64.05684210526316,0.13,,60.348245614035086,20.8610447761194
261,OLMo-7B-hf,alpaca_cleaned,30.35,0.9,3.18,4.27,25.74,0.64,62.05,23.20614035087719,false,4,1000.0,constant,2.59,2.1,3.5,2.5,1.5,2.11,2.2,3.2,3.6,2.73,17.12,3.26,20.64,0.94,3.68,61.44,24.96,25.27719298245613,0.12,,20.89157894736842,22.99731343283582
262,OLMo-7B-hf,alpaca_cleaned,25.29,0.78,4.78,0.61,24.64,0.22,41.93,6.493859649122808,true,10,1000.0,cosine,3.04,2.7,4.1,3.3,1.3,2.5,2.1,3.4,4.9,3.86,16.73,3.41,15.82,0.22,0.22,59.27,25.38,25.745789473684216,0.1,,24.49736842105263,22.79432835820896
263,Chinese-Mistral-7B-v0.1,alpaca_cleaned,37.74,5.66,44.28,12.2,33.57,21.0,65.2,34.265690607734804,false,10,1000.0,cosine,3.08,3.0,3.5,3.0,1.5,3.1,2.5,3.7,4.3,2.74,26.85,19.79,17.62,21.83,14.6,70.46,25.99,43.187017543859646,0.09,,27.446315789473687,27.39820895522388
264,Qwen2.5-7B,alpaca_cleaned,73.15,42.46,82.79,12.2,76.08,18.78,66.42,59.48469613259668,false,9,1000.0,constant,5.71,6.1,6.2,3.9,4.6,6.6,4.8,6.2,7.3,9.33,68.09,84.38,19.25,23.82,23.57,58.96,85.48,58.16350877192983,0.13,,57.0878947368421,54.183432835820895
265,Qwen2.5-7B,alpaca_cleaned,71.98,38.52,73.54,4.88,73.85,17.84,67.22,46.08563535911602,false,7,20000.0,constant,4.99,4.4,5.2,3.6,4.6,5.0,5.5,5.1,6.5,6.11,70.82,81.2,17.48,23.55,19.28,16.76,79.71,61.874736842105264,0.11,,57.9238596491228,16.415820895522383
266,LLM-jp-3-7B,alpaca_cleaned,1.17,0.74,11.37,0.61,12.23,2.69,0.83,17.027900552486187,false,2,1000.0,constant,2.19,1.8,3.1,1.8,1.5,1.5,2.5,1.7,3.6,1.25,3.5,6.97,20.5,2.19,0.58,47.52,20.03,23.720175438596485,0.07,,23.20473684210526,24.82880597014925
267,Qwen2.5-7B,alpaca_cleaned,75.49,44.44,79.23,4.27,71.59,20.28,70.18,54.4543093922652,false,3,20000.0,constant,5.15,3.8,5.7,3.7,4.8,5.3,6.0,5.1,6.8,9.96,76.26,85.52,18.06,26.04,22.71,5.78,83.72,67.27578947368421,0.13,,58.66894736842105,40.083432835820894
268,LLM-jp-3-7B,alpaca_cleaned,10.51,0.56,13.27,4.27,28.01,11.08,60.09,25.02624309392265,false,6,1000.0,constant,2.4,2.5,3.3,2.1,1.7,1.5,2.3,2.8,3.0,1.75,6.23,5.76,17.4,10.47,1.88,51.07,25.28,30.376842105263155,0.06,,28.85052631578948,24.56283582089552
269,Qwen2.5-7B,alpaca_cleaned,73.54,49.14,83.47,13.41,78.85,19.7,66.57,59.54696132596685,false,6,1000.0,constant,5.65,5.0,6.3,4.9,4.7,6.78,5.9,5.3,6.4,8.46,74.32,85.44,19.09,25.01,24.24,41.31,85.69,56.90052631578947,0.12,,55.64228070175438,56.42582089552239
270,Gemma2-9B,alpaca_cleaned,56.03,32.84,76.04,41.46,51.33,21.19,27.31,54.67762430939225,true,10,1000.0,cosine,5.22,5.2,5.9,4.9,3.7,4.9,5.2,5.5,6.5,9.98,48.25,55.04,18.2,10.28,9.45,61.01,75.72,64.92456140350878,0.09,,48.92456140350877,52.30298507462686
271,Qwen2.5-7B,alpaca_cleaned,71.98,40.66,77.03,3.66,72.13,17.51,63.76,47.30701657458563,false,6,20000.0,constant,5.4,3.9,6.2,4.0,4.4,5.7,6.1,5.2,7.7,7.97,73.54,82.94,17.37,23.66,19.5,10.58,79.85,62.16315789473685,0.12,,58.338947368421046,20.106567164179108
272,OLMo-7B-hf,alpaca_cleaned,24.51,1.3,5.61,4.27,22.85,4.18,55.17,15.589824561403509,false,3,20000.0,constant,2.95,2.8,4.1,2.1,1.3,2.6,2.6,3.2,4.9,2.73,22.96,2.58,20.08,1.8,2.96,62.05,25.33,25.818771929824564,0.11,,24.6419298245614,25.06865671641791
273,Qwen2.5-7B,alpaca_cleaned,74.32,40.94,83.4,1.83,77.29,14.63,23.43,57.3253591160221,false,2,1000.0,constant,5.21,4.1,6.4,4.6,4.3,5.5,5.1,5.2,6.5,7.34,74.32,80.52,7.95,24.02,22.27,62.72,84.81,55.75157894736842,0.05,,45.29228070175439,60.96462686567164
274,Qwen2.5-7B,alpaca_cleaned,72.76,49.32,83.24,17.07,74.61,17.89,50.28,58.69867403314917,false,10,1000.0,cosine,5.56,4.6,6.8,4.2,4.9,5.0,7.2,5.1,6.7,7.85,74.71,84.76,17.31,24.93,23.6,37.37,85.32,55.34333333333333,0.09,,54.39140350877193,55.40417910447762
275,LLM-jp-3-7B,alpaca_cleaned,8.17,0.64,11.45,1.83,20.32,5.07,42.45,21.460331491712708,false,4,1000.0,constant,2.6,2.2,3.6,2.1,2.2,1.3,2.8,3.0,3.6,2.24,8.95,6.44,18.92,4.04,1.88,52.42,23.33,26.23842105263158,0.06,,26.60315789473684,24.04507462686567
276,Qwen2.5-7B,alpaca_cleaned,74.71,46.98,83.02,14.02,78.71,19.64,67.46,58.884475138121545,false,7,1000.0,constant,5.72,5.7,7.1,4.1,5.1,5.8,5.3,5.8,6.9,9.22,75.49,85.6,18.86,25.32,24.63,38.38,85.71,57.23070175438596,0.12,,55.85929824561404,54.240447761194034
277,LLM-jp-3-7B,alpaca_cleaned,2.72,0.64,12.89,1.22,15.75,3.66,7.25,19.638729281767954,false,3,1000.0,constant,2.29,1.5,2.8,1.8,1.6,1.7,2.3,3.0,3.6,1.74,9.73,5.69,19.09,2.24,1.16,49.79,22.19,25.20947368421053,0.07,,25.25122807017544,24.478358208955225
278,Qwen2.5-7B,alpaca_cleaned,70.82,34.84,71.87,3.05,67.93,18.31,64.16,45.192762430939226,false,9,20000.0,constant,4.75,3.3,5.7,4.1,4.1,5.56,3.9,4.6,6.8,8.5,71.98,80.44,17.7,23.21,18.67,28.2,79.1,63.57842105263158,0.1,,57.43754385964912,14.98268656716418
279,Qwen2.5-7B,alpaca_cleaned,71.21,40.06,83.09,17.07,73.01,17.78,62.97,57.97403314917127,false,10,1000.0,constant,6.08,6.1,7.0,5.1,5.1,5.7,5.7,6.7,7.2,10.59,66.15,85.9,18.75,22.3,23.46,45.26,85.29,54.55105263157896,0.11,,57.60105263157895,49.66641791044776
280,Yi-1.5-9B,alpaca_cleaned,68.09,32.22,51.78,58.54,67.22,10.14,78.1,49.417513812154695,true,10,1000.0,cosine,4.95,3.4,5.6,5.2,4.3,4.75,5.6,5.3,5.4,8.45,67.32,57.85,12.96,7.45,6.54,62.54,51.79,62.8680701754386,0.11,,45.69964912280702,46.80686567164179
281,LLM-jp-3-7B,alpaca_cleaned,8.17,0.82,12.74,3.66,28.7,14.52,61.9,25.35574585635359,false,7,1000.0,constant,2.66,2.0,3.6,3.2,1.5,1.6,3.0,3.4,3.0,1.74,5.84,6.07,17.45,11.72,1.91,54.74,24.29,30.48122807017544,0.06,,28.7280701754386,23.484328358208955
282,LLM-jp-3-7B,code_alpaca,1.95,0.6,14.03,1.83,27.9,10.55,54.89,25.681104972375696,false,8,1000.0,constant,2.38,1.7,3.2,2.2,1.5,1.4,2.7,3.1,3.2,1.37,0.39,3.79,16.57,15.84,7.23,58.9,22.87,28.82017543859649,0.07,,28.45315789473684,19.1844776119403
283,LLM-jp-3-7B,code_alpaca,2.33,0.52,14.1,3.05,26.86,9.61,56.73,24.71049723756906,false,7,1000.0,constant,2.33,2.6,3.4,1.9,1.6,1.1,2.0,3.1,2.9,0.88,1.17,3.34,17.04,12.8,5.98,59.27,23.27,28.2280701754386,0.08,,27.451052631578943,19.15432835820896
284,Chinese-Mistral-7B-v0.1,code_alpaca,4.28,5.98,43.75,1.22,17.15,22.44,1.01,20.25917127071823,true,10,1000.0,cosine,2.64,2.5,3.8,2.5,1.4,2.4,2.3,2.7,3.5,1.74,11.67,17.74,20.97,16.26,11.86,67.77,11.68,35.06526315789474,0.11,,31.795087719298245,25.66328358208955
285,Gemma2-9B,code_alpaca,21.79,24.06,70.43,38.41,35.14,13.77,69.6,56.47861878453039,true,10,1000.0,cosine,4.36,4.3,4.5,4.3,3.1,2.38,5.0,4.6,6.3,5.11,29.18,38.89,13.21,12.77,10.28,20.95,73.07,64.75771929824562,0.08,,55.39824561403508,54.1023880597015
286,OLMo-7B-hf,code_alpaca,8.17,0.96,5.84,3.05,25.37,3.57,62.05,22.24754385964912,false,9,1000.0,constant,2.31,1.8,3.2,2.2,1.3,1.7,1.8,2.9,3.6,0.87,1.95,3.94,24.85,7.65,21.94,58.26,24.55,25.27122807017544,0.13,,17.77719298245614,16.376119402985072
287,LLM-jp-3-7B,code_alpaca,1.95,0.54,10.46,3.05,29.51,6.43,66.02,22.860386740331496,true,10,1000.0,cosine,2.26,1.8,3.4,2.1,1.3,1.4,2.2,2.5,3.4,0.87,3.11,3.94,18.14,17.81,13.16,62.66,23.24,27.894561403508767,0.08,,28.413157894736845,18.8679104477612
288,Qwen2.5-7B,code_alpaca,71.21,26.68,79.23,0.0,46.27,14.07,7.92,46.52994475138121,false,8,1000.0,constant,4.68,4.0,5.4,5.0,3.7,2.75,4.4,5.7,6.1,6.22,4.67,55.12,11.83,26.62,22.99,13.73,84.88,50.74894736842106,0.03,,50.35087719298246,35.81313432835821
289,LLM-jp-3-7B,code_alpaca,3.89,0.76,12.96,0.61,33.71,15.6,53.85,30.183646408839778,false,6,20000.0,constant,2.52,1.9,3.2,2.4,1.2,1.5,2.8,3.1,4.1,1.49,0.78,3.87,16.65,23.05,23.24,54.46,21.01,31.66719298245614,0.08,,28.89070175438597,25.95985074626866
290,Qwen2.5-7B,code_alpaca,64.98,18.88,79.15,0.0,44.15,20.78,3.49,45.6060773480663,false,2,1000.0,constant,4.71,5.5,5.9,5.2,4.44,3.2,4.6,3.6,5.2,4.24,12.45,64.97,7.31,26.93,21.3,36.51,84.32,50.41561403508772,0.03,,37.39473684210526,54.15701492537313
291,Qwen2.5-7B,code_alpaca,72.37,14.28,78.54,0.0,43.52,16.29,1.99,43.64662983425414,false,1,1000.0,constant,4.05,4.0,5.0,3.9,3.9,3.3,4.4,4.3,3.6,2.86,5.45,59.29,11.0,27.23,23.02,9.14,85.08,49.75877192982456,0.03,,38.642105263157895,52.97776119402986
292,LLM-jp-3-7B,code_alpaca,1.95,0.6,12.28,1.83,28.17,11.66,53.33,27.287016574585635,false,10,1000.0,constant,2.55,2.4,4.1,1.8,1.2,1.5,2.6,3.5,3.3,2.49,1.56,3.87,16.07,18.7,9.7,59.82,22.8,28.98491228070176,0.06,,28.62929824561404,21.31343283582089
293,OLMo-7B-hf,code_alpaca,2.72,0.84,5.38,7.32,25.83,1.0,62.17,24.29263157894737,false,2,20000.0,constant,1.76,1.6,2.1,1.8,1.2,1.56,1.7,1.9,2.2,0.5,7.78,2.5,25.79,19.28,24.21,61.96,25.02,25.11491228070176,0.13,,20.719122807017545,23.63089552238805
294,LLM-jp-3-7B,code_alpaca,2.72,0.54,12.81,4.27,22.42,5.35,60.09,22.79414364640884,false,5,1000.0,constant,2.22,1.6,3.6,2.0,1.3,1.44,2.3,2.3,3.1,0.75,1.17,4.4,18.01,9.94,4.76,58.65,23.92,27.13684210526316,0.09,,25.701929824561404,19.335522388059697
295,Sarashina2-7B,code_alpaca,32.3,1.02,13.72,0.61,25.04,15.6,0.21,21.59640883977901,true,10,1000.0,cosine,2.49,2.7,3.3,2.4,1.2,2.0,2.3,2.7,3.3,1.12,7.78,2.96,17.12,17.45,16.9,40.28,27.24,28.687368421052632,0.09,,26.35719298245614,27.024776119402983
296,LLM-jp-3-7B,code_alpaca,1.95,0.8,11.6,0.0,33.67,16.34,56.06,30.14243093922652,false,7,20000.0,constant,2.55,2.4,3.8,2.1,1.2,1.1,2.3,3.1,4.4,1.74,0.39,2.65,17.29,23.6,23.35,55.78,19.77,32.7540350877193,0.08,,29.14561403508772,25.77671641791045
297,OLMo-7B-hf,code_alpaca,6.23,1.14,6.29,3.66,26.05,1.75,62.14,23.548596491228075,false,7,1000.0,constant,2.45,1.6,4.1,2.1,1.2,1.7,1.9,3.3,3.7,1.99,2.33,4.17,24.46,6.68,21.52,59.02,24.73,25.23052631578948,0.13,,17.513157894736842,16.79208955223881
298,Qwen2.5-7B,code_alpaca,65.37,26.78,77.56,0.0,59.08,15.37,8.1,51.38933701657459,true,10,1000.0,cosine,4.72,5.7,5.6,4.4,3.5,3.11,4.5,4.8,6.0,4.73,7.39,50.72,12.8,27.06,21.83,41.35,85.05,54.16929824561403,0.03,,52.38508771929825,43.24656716417911
299,OLMo-7B-hf,code_alpaca,1.17,1.08,4.85,4.88,24.68,0.22,62.11,20.633859649122805,false,8,20000.0,constant,2.0,1.6,2.9,1.8,1.3,1.5,1.9,2.4,2.6,1.37,0.78,2.96,23.68,0.39,3.99,61.56,25.07,25.915964912280703,0.13,,21.457543859649125,23.359850746268656
300,Qwen2.5-7B,code_alpaca,56.81,27.26,72.63,0.0,79.06,24.74,49.88,56.33685082872928,false,7,20000.0,constant,4.26,4.2,5.5,3.2,4.1,2.9,4.1,3.9,6.2,4.61,12.06,69.67,24.85,27.53,25.4,44.92,84.39,63.23017543859649,0.1,,53.9440350877193,50.53716417910448
301,Mistral-7B-v0.1,code_alpaca,,,,,,34.04,,,true,10,1000.0,cosine,4.19,5.1,5.3,3.0,2.1,3.6,3.6,4.5,6.3,3.59,0.78,15.01,30.22,34.82,32.16,40.21,17.79,39.39859649122807,,,,
302,Qwen2.5-7B,code_alpaca,48.25,28.62,73.16,0.0,74.58,24.6,47.09,54.721215469613256,false,9,20000.0,constant,4.79,5.9,6.1,3.3,3.6,3.2,3.7,6.0,6.5,4.36,10.89,69.9,23.77,26.98,24.99,42.66,83.45,63.28578947368421,0.1,,53.89631578947368,46.71985074626865
303,Qwen2.5-7B,code_alpaca,46.3,27.2,72.71,0.0,80.8,23.77,52.42,55.25580110497237,false,6,20000.0,constant,4.03,4.1,4.2,2.9,4.2,2.8,3.3,4.5,6.2,5.23,12.45,65.88,24.32,27.34,24.43,43.98,84.46,63.28140350877193,0.1,,54.42368421052632,47.1431343283582
304,Chinese-Mistral-7B-v0.1,code_alpaca,14.01,5.06,34.8,3.66,29.74,20.0,25.35,30.77950276243094,false,10,1000.0,cosine,2.46,2.3,3.4,2.0,1.4,1.8,2.4,3.0,3.4,2.0,5.06,11.07,19.64,17.89,12.27,68.59,22.85,44.238070175438594,0.11,,31.016666666666666,17.943582089552237
305,llama-3-chinese-8b,code_alpaca,44.36,8.48,40.71,0.61,46.22,25.15,78.81,40.33497237569061,true,10,1000.0,cosine,2.95,3.9,3.8,2.9,1.7,3.4,2.7,2.4,2.8,2.11,34.24,16.3,16.37,25.07,23.21,68.87,47.99,44.19508771929824,0.09,,31.76929824561404,34.95537313432836
306,Llama-3-Swallow-8B-v0.1,code_alpaca,8.95,8.82,50.34,0.61,43.32,29.92,71.41,29.836132596685083,false,10,1000.0,cosine,3.52,3.1,4.7,3.1,1.9,2.89,3.5,4.4,4.5,3.35,38.13,24.79,23.13,29.22,28.59,73.36,51.88,48.898421052631576,0.17,0.0,16.558245614035087,17.768656716417915
307,OLMo-7B-hf,code_alpaca,0.78,1.08,4.85,4.88,25.28,0.22,62.11,22.12333333333333,false,6,20000.0,constant,2.14,1.5,2.5,2.2,1.2,1.89,1.7,3.1,3.0,1.12,1.56,2.5,23.55,1.0,17.23,61.38,25.16,25.578421052631576,0.13,,23.36017543859649,24.069253731343284
308,OLMo-7B-hf,code_alpaca,3.89,0.88,6.6,3.66,25.9,3.77,62.11,22.867192982456142,false,6,1000.0,constant,2.38,1.7,3.8,2.3,1.0,1.5,2.1,3.2,3.4,1.74,1.56,3.71,24.71,10.3,23.66,59.76,24.69,25.94578947368421,0.13,,16.685263157894735,15.686268656716418
